#  q,  S(q) neutrons
  16.7520092641        1.0203585711
  16.8011044471        1.0176474776
  16.8501996300        1.0143831220
  16.8992948130        1.0107942494
  16.9483899960        1.0070907848
  16.9974851789        1.0034648608
  17.0465803619        1.0000935564
  17.0956755448        0.9971380982
  17.1447707278        0.9947361323
  17.1938659107        0.9929866801
  17.2429610937        0.9919306955
  17.2920562766        0.9915328058
  17.3411514596        0.9916710425
  17.3902466425        0.9921406956
  17.4393418255        0.9926758751
  17.4884370084        0.9929884158
  17.5375321914        0.9928193120
  17.5866273743        0.9919939558
  17.6357225573        0.9904701057
  17.6848177402        0.9883674235
  17.7339129232        0.9859698367
  17.7830081061        0.9836965831
  17.8321032891        0.9820437456
  17.8811984720        0.9815042131
  17.9302936550        0.9824790102
  17.9793888379        0.9851957102
  18.0284840209        0.9896494800
  18.0775792038        0.9955790683
  18.1266743868        1.0024842605
  18.1757695697        1.0096840203
  18.2248647527        1.0164071119
  18.2739599356        1.0219008923
  18.3230551186        1.0255403887
  18.3721503015        1.0269194686
  18.4212454845        1.0259089406
  18.4703406674        1.0226722418
  18.5194358504        1.0176368384
  18.5685310334        1.0114271627
  18.6176262163        1.0047713701
  18.6667213993        0.9983982157
  18.7158165822        0.9929412436
  18.7649117652        0.9888651770
  18.8140069481        0.9864244845
  18.8631021311        0.9856576355
  18.9121973140        0.9864138962
  18.9612924970        0.9884039715
  19.0103876799        0.9912624021
  19.0594828629        0.9946089208
  19.1085780458        0.9980979049
  19.1576732288        1.0014490348
  19.2067684117        1.0044572794
  19.2558635947        1.0069852012
  19.3049587776        1.0089442448
  19.3540539606        1.0102733770
  19.4031491435        1.0109229372
  19.4522443265        1.0108490796
  19.5013395094        1.0100204568
  19.5504346924        1.0084347837
  19.5995298753        1.0061396498
  19.6486250583        1.0032502272
  19.6977202412        0.9999567893
  19.7468154242        0.9965171469
  19.7959106071        0.9932327023
  19.8450057901        0.9904109622
  19.8941009730        0.9883210141
  19.9431961560        0.9871507711
  19.9922913389        0.9869751145
  20.0413865219        0.9877422738
  20.0904817048        0.9892822282
  20.1395768878        0.9913363581
  20.1886720708        0.9936030255
  20.2377672537        0.9957902596
  20.2868624367        0.9976650673
  20.3359576196        0.9990894971
  20.3850528026        1.0000363501
  20.4341479855        1.0005817759
