# Faber-Ziman Sij(q)             [Ge,Ge]                   
       14.2466230961           0.9835637506   
       14.2957252737           0.9820791051   
       14.3448274514           0.9820396306   
       14.3939296290           0.9832267774   
       14.4430318067           0.9852626896   
       14.4921339843           0.9877080153   
       14.5412361620           0.9901621936   
       14.5903383396           0.9923449426   
       14.6394405172           0.9941428327   
       14.6885426949           0.9956131192   
       14.7376448725           0.9969465772   
       14.7867470502           0.9983998820   
       14.8358492278           1.0002142820   
       14.8849514055           1.0025397056   
       14.9340535831           1.0053816511   
       14.9831557607           1.0085827406   
       15.0322579384           1.0118429455   
       15.0813601160           1.0147739562   
       15.1304622937           1.0169757971   
       15.1795644713           1.0181191105   
       15.2286666490           1.0180154762   
       15.2777688266           1.0166608277   
       15.3268710043           1.0142428175   
       15.3759731819           1.0111105860   
       15.4250753595           1.0077131627   
       15.4741775372           1.0045190596   
       15.5232797148           1.0019332142   
       15.5723818925           1.0002276382   
       15.6214840701           0.9994989787   
       15.6705862478           0.9996604440   
       15.7196884254           1.0004684535   
       15.7687906030           1.0015774421   
       15.8178927807           1.0026109058   
       15.8669949583           1.0032340508   
       15.9160971360           1.0032137813   
       15.9651993136           1.0024550205   
       16.0143014913           1.0010077295   
       16.0634036689           0.9990452561   
       16.1125058465           0.9968204816   
       16.1616080242           0.9946104220   
       16.2107102018           0.9926616835   
       16.2598123795           0.9911481936   
       16.3089145571           0.9901492611   
       16.3580167348           0.9896510642   
       16.4071189124           0.9895692703   
       16.4562210901           0.9897858231   
       16.5053232677           0.9901899961   
       16.5544254453           0.9907131997   
       16.6035276230           0.9913488157   
       16.6526298006           0.9921520761   
       16.7017319783           0.9932198565   
       16.7508341559           0.9946551156   
       16.7999363336           0.9965245315   
       16.8490385112           0.9988198046   
       16.8981406888           1.0014327030   
       16.9472428665           1.0041512706   
       16.9963450441           1.0066802585   
       17.0454472218           1.0086836654   
       17.0945493994           1.0098423695   
       17.1436515771           1.0099162166   
       17.1927537547           1.0087983780   
       17.2418559323           1.0065506420   
       17.2909581100           1.0034114536   
       17.3400602876           0.9997733571   
       17.3891624653           0.9961321358   
       17.4382646429           0.9930152779   
       17.4873668206           0.9909014277   
       17.5364689982           0.9901444217   
       17.5855711758           0.9909149865   
       17.6346733535           0.9931702810   
       17.6837755311           0.9966567294   
       17.7328777088           1.0009458772   
       17.7819798864           1.0054973623   
       17.8310820641           1.0097385264   
       17.8801842417           1.0131475186   
       17.9292864194           1.0153264010   
       17.9783885970           1.0160527737   
       18.0274907746           1.0153023938   
       18.0765929523           1.0132404061   
       18.1256951299           1.0101841980   
       18.1747973076           1.0065455659   
       18.2238994852           1.0027630206   
       18.2730016629           0.9992361616   
       18.3221038405           0.9962729859   
       18.3712060181           0.9940580368   
       18.4203081958           0.9926450547   
       18.4694103734           0.9919730973   
       18.5185125511           0.9919008216   
       18.5676147287           0.9922505673   
       18.6167169064           0.9928525607   
       18.6658190840           0.9935801711   
       18.7149212616           0.9943695213   
       18.7640234393           0.9952203501   
       18.8131256169           0.9961791405   
       18.8622277946           0.9973093111   
       18.9113299722           0.9986559951   
       18.9604321499           1.0002140608   
       19.0095343275           1.0019073495   
       19.0586365052           1.0035847574   
       19.1077386828           1.0050352537   
       19.1568408604           1.0060198933   
       19.2059430381           1.0063151777   
       19.2550452157           1.0057594688   
       19.3041473934           1.0042931347   
       19.3532495710           1.0019839102   
       19.4023517487           0.9990314865   
       19.4514539263           0.9957491114   
       19.5005561039           0.9925242883   
       19.5496582816           0.9897646613   
       19.5987604592           0.9878380948   
       19.6478626369           0.9870172169   
       19.6969648145           0.9874380342   
       19.7460669922           0.9890797581   
       19.7951691698           0.9917691760   
       19.8442713474           0.9952084795   
       19.8933735251           0.9990212847   
       19.9424757027           1.0028084466   
       19.9915778804           1.0062037833   
       20.0406800580           1.0089202443   
       20.0897822357           1.0107792824   
       20.1388844133           1.0117197343   
       20.1879865909           1.0117866509   
       20.2370887686           1.0111043896   
       20.2861909462           1.0098411040   
       20.3352931239           1.0081729728   
       20.3843953015           1.0062558869   
       20.4334974792           1.0042100253   
       20.4825996568           1.0021193304   
       20.5317018345           1.0000441098   
       20.5808040121           0.9980416916   
       20.6299061897           0.9961880043   
       20.6790083674           0.9945926104   
       20.7281105450           0.9934012084   
       20.7772127227           0.9927826314   
       20.8263149003           0.9929012580   
       20.8754170780           0.9938796571   
       20.9245192556           0.9957593117   
       20.9736214332           0.9984686815   
       21.0227236109           1.0018072616   
       21.0718257885           1.0054517107   
       21.1209279662           1.0089859964   
       21.1700301438           1.0119526646   
       21.2191323215           1.0139177687   
       21.2682344991           1.0145386721   
       21.3173366767           1.0136226157   
       21.3664388544           1.0111649779   
       21.4155410320           1.0073594194   
       21.4646432097           1.0025770226   
       21.5137453873           0.9973171505   
       21.5628475650           0.9921379666   
       21.6119497426           0.9875783262   
       21.6610519202           0.9840843020   
       21.7101540979           0.9819526316   
       21.7592562755           0.9813000507   
       21.8083584532           0.9820624845   
       21.8574606308           0.9840224194   
       21.9065628085           0.9868576097   
       21.9556649861           0.9902006363   
       22.0047671638           0.9936974295   
       22.0538693414           0.9970539357   
       22.1029715190           1.0000633676   
       22.1520736967           1.0026111697   
       22.2011758743           1.0046599150   
       22.2502780520           1.0062207013   
       22.2993802296           1.0073202870   
       22.3484824073           1.0079736269   
       22.3975845849           1.0081695723   
       22.4466867625           1.0078737436   
       22.4957889402           1.0070478449   
       22.5448911178           1.0056800790   
       22.5939932955           1.0038179306   
       22.6430954731           1.0015932520   
       22.6921976508           0.9992306859   
       22.7412998284           0.9970338380   
       22.7904020060           0.9953485706   
       22.8395041837           0.9945082680   
       22.8886063613           0.9947706925   
       22.9377085390           0.9962590015   
       22.9868107166           0.9989198665   
       23.0359128943           1.0025092184   
       23.0850150719           1.0066113062   
       23.1341172496           1.0106904249   
       23.1832194272           1.0141680973   
       23.2323216048           1.0165130587   
       23.2814237825           1.0173282446   
       23.3305259601           1.0164188555   
       23.3796281378           1.0138285803   
       23.4287303154           1.0098366754   
       23.4778324931           1.0049157579   
       23.5269346707           0.9996574713   
       23.5760368483           0.9946791767   
       23.6251390260           0.9905283166   
       23.6742412036           0.9876013967   
       23.7233433813           0.9860915704   
